CRYPTO | AMOUNT | STATUS | DATE | TX HASH
-------|--------|--------|------|---------
BTC | 0.02012551 | completed | 2026-02-06T17:57:02.033Z | 8b465402a11fc62f5becf65d563c8945185f7b1dde569d42bdc03c44c952459c
ETH | 0 | completed | 2026-02-06T12:50:49.776Z | 25315f48108e2f81c419a112e392e6fa0043a1e49e35592a120b81231cc26290
BTC | 0.00010661 | completed | 2026-02-06T10:06:24.349Z | fa04a314a3886f0bc0e5c8c823e7725e5e93c1a708b83a5cdfb8b8bf26a4d145
ETH | 0 | completed | 2026-02-06T07:42:15.586Z | c9079647efc715e732206872ad9c876fcd5b88d9fe7f7d17783dcb1b48b522db
BTC | 0.000105 | completed | 2026-02-05T13:54:43.138Z | 1df54eace3ce0b892c2d5538efa5b9a821540676b1dab8c7cd17891955ae195d
BTC | 0.00021537 | completed | 2026-02-05T12:25:12.178Z | e59db7b0d0616d0167a5b55dbce1a85701fa68289d5415ba1fe5779d6b2252e2
BTC | 0.00038259 | completed | 2026-02-04T23:10:17.658Z | 143f4d8bc0f6ae43741f54034bbb2d1acf02075e42de20c3f44c02b45b30373d
BTC | 0.00012792 | completed | 2026-02-03T10:03:05.708Z | e304c683d53a8c88944ba8b349b2fb6237da1983317af6330a76e8ef4785dac5
ETH | 0.001800000000017 | completed | 2026-02-02T19:46:49.702Z | 50a3d870e2a6b67c252f5a0cb0c2704a71f859bafd9be670a41c9cdf656c7440
ETH | 0.001673 | completed | 2026-02-01T13:50:25.566Z | 7a6963d733cc46e994925f72cd2993ae712caa450eef6709ae0a851240e5bf70
BTC | 0.00006118 | completed | 2026-01-31T17:05:05.867Z | 400bbea5204454402d3a407538da0d7b1100be44d4c443da9d93216691bb02fe
BTC | 0.00006064 | completed | 2026-01-31T16:09:40.510Z | 72f9987f6bc384684d00ac656ef5d2f602dc99d97f006c848f58d1d305f7ddcd
BETH | 1e-15 | completed | 2026-01-29T23:43:45.756Z | 1d2f56b73a13e2f9623029df3cae186088c3432a884d05a7d0f4072f43798029
BETH | 1e-15 | completed | 2026-01-29T23:42:45.529Z | 663c4b24f85e8c064ae083aca1fc9ba776260fff6c1a9bddedad98318d774e70
BETH | 1e-15 | completed | 2026-01-29T23:33:25.795Z | b493e4c7c4505bc57a8502cdd5036b778a9dcef559e80d929b1209442c65ded1
BETH | 1e-15 | completed | 2026-01-29T23:30:05.831Z | e1bfbc89f419780a49f5e335e63bd6d3524b4f3724d5a25ee44bd324cda34a9d
BCY | 0.14638436 | completed | 2026-01-29T23:18:19.293Z | 59ef7240e4785758c9fc605cf9f9b9cc1d58ca4f265511bb27256ac075aa73ce
BCY | 0.04872812 | completed | 2026-01-29T23:16:19.265Z | bd897ad4d830497062221c64aa80ffecf66784d06ef0f395f2b6b1dc735387cd
BETH | 1e-15 | completed | 2026-01-29T23:01:45.774Z | 9f62dd584a69f1f5ee41847bb1a5e4e9bfd8a8a4228165e6b0584f1abed6ae2d
BETH | 1e-15 | completed | 2026-01-29T22:53:45.814Z | d8cb9d747db9b3e75c2eb1507b8b3976183a8fbaa11b322fc2543c163644c01f
ETH | 0.000887 | completed | 2026-01-29T22:17:04.540Z | 20f30ef9798a4efec893a830aed7e24448dc2236a3530bc29f4f0a0b9e567234
BTC | 0.00004872 | completed | 2026-01-29T21:19:07.556Z | 075e201c507bfab6a45eac5f78158d61861fe910f4a923974e0c90750c3d9750
BETH | 1e-15 | completed | 2026-01-29T18:24:06.069Z | 06fbda4d6ddfb192eee7bed0e1bf133f583d7dca4e39db5e085b9f1f036b79c7
BTC | 0.00013248 | completed | 2026-01-28T22:59:50.573Z | 6248d4a401aa87e7c6c5b0e4ec45d88cccc0de39737082db51a37483a46a395b
ETH | 0.0011 | completed | 2026-01-28T21:55:50.259Z | d8d76693f8db17ad87b479c5d8ec0a67f10c058dce31ea9b66524ba4186a40e5
